chapter,topic,start_date,first_score,day_7_score,day_14_review,day_30_review,status,main_error
0,Pronunciation greetings and survival phrases,,,,,,,not started,
1,Nouns articles and adjectives,,,,,,,not started,
2,Etre avoir pronouns and negation,,,,,,,not started,
3,Dates er verbs and questions,,,,,,,not started,
4,Numbers time and ir verbs,,,,,,,not started,
5,Re verbs and spelling changes,,,,,,,not started,
6,Aller prepositions and faire,,,,,,,not started,
7,Irregular verbs and infinitives,,,,,,,not started,
8,Irregular verbs and relative pronouns,,,,,,,not started,
9,Partitives and object pronouns,,,,,,,not started,
10,Possessives demonstratives comparisons and adverbs,,,,,,,not started,
11,Negatives stressed pronouns and imperative,,,,,,,not started,
12,Pronominal verbs and present participle,,,,,,,not started,
13,Passe compose,,,,,,,not started,
14,Imparfait narration and double pronouns,,,,,,,not started,
15,Future conditional pluperfect and indefinites,,,,,,,not started,
16,Subjunctive,,,,,,,not started,
